Navn;Kodeverdi;Eier; Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gylig til; ID
0101;0101;Kartverket;Gyldig;29.11.2017;1;Halden;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0101
0102;0102;Kartverket;Utgått;29.11.2017;1;Sarpsborg;09.08.1839 00:00:00;01.01.1992 00:00:00;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0102
0103;0103;Kartverket;Utgått;29.11.2017;1;Fredrikstad;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0103
0104;0104;Kartverket;Gyldig;29.11.2017;1;Moss;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0104
0105;0105;Kartverket;Gyldig;29.11.2017;1;Sarpsborg;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0105
0106;0106;Kartverket;Gyldig;29.11.2017;1;Fredrikstad;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0106
0111;0111;Kartverket;Gyldig;29.11.2017;1;Hvaler;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0111
0113;0113;Kartverket;Utgått;29.11.2017;1;Borge;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0113
0114;0114;Kartverket;Utgått;29.11.2017;1;Varteig;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0114
0115;0115;Kartverket;Utgått;29.11.2017;1;Skjeberg;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0115
0118;0118;Kartverket;Gyldig;29.11.2017;1;Aremark;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0118
0119;0119;Kartverket;Gyldig;29.11.2017;1;Marker;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0119
0121;0121;Kartverket;Gyldig;29.11.2017;1;Rømskog;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0121
0122;0122;Kartverket;Gyldig;29.11.2017;1;Trøgstad;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0122
0123;0123;Kartverket;Gyldig;29.11.2017;1;Spydeberg;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0123
0124;0124;Kartverket;Gyldig;29.11.2017;1;Askim;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0124
0125;0125;Kartverket;Gyldig;29.11.2017;1;Eidsberg;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0125
0127;0127;Kartverket;Gyldig;29.11.2017;1;Skiptvet;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0127
0128;0128;Kartverket;Gyldig;29.11.2017;1;Rakkestad;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0128
0130;0130;Kartverket;Utgått;29.11.2017;1;Tune;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0130
0131;0131;Kartverket;Utgått;29.11.2017;1;Rolvsøy;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0131
0133;0133;Kartverket;Utgått;29.11.2017;1;Kråkerøy;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0133
0134;0134;Kartverket;Utgått;29.11.2017;1;Onsøy;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0134
0135;0135;Kartverket;Gyldig;29.11.2017;1;Råde;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0135
0136;0136;Kartverket;Gyldig;29.11.2017;1;Rygge;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0136
0137;0137;Kartverket;Gyldig;29.11.2017;1;Våler i Østfold;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0137
0138;0138;Kartverket;Gyldig;29.11.2017;1;Hobøl;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0138
0211;0211;Kartverket;Gyldig;29.11.2017;1;Vestby;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0211
0213;0213;Kartverket;Gyldig;29.11.2017;1;Ski;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0213
0214;0214;Kartverket;Gyldig;29.11.2017;1;Ås;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0214
0215;0215;Kartverket;Gyldig;29.11.2017;1;Frogn;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0215
0216;0216;Kartverket;Gyldig;29.11.2017;1;Nesodden;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0216
0217;0217;Kartverket;Gyldig;29.11.2017;1;Oppegård;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0217
0219;0219;Kartverket;Gyldig;29.11.2017;1;Bærum;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0219
0220;0220;Kartverket;Gyldig;29.11.2017;1;Asker;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0220
0221;0221;Kartverket;Gyldig;29.11.2017;1;Aurskog-Høland;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0221
0226;0226;Kartverket;Gyldig;29.11.2017;1;Sørum;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0226
0227;0227;Kartverket;Gyldig;29.11.2017;1;Fet;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0227
0228;0228;Kartverket;Gyldig;29.11.2017;1;Rælingen;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0228
0229;0229;Kartverket;Gyldig;29.11.2017;1;Enebakk;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0229
0230;0230;Kartverket;Gyldig;29.11.2017;1;Lørenskog;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0230
0231;0231;Kartverket;Gyldig;29.11.2017;1;Skedsmo;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0231
0233;0233;Kartverket;Gyldig;29.11.2017;1;Nittedal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0233
0234;0234;Kartverket;Gyldig;29.11.2017;1;Gjerdrum;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0234
0235;0235;Kartverket;Gyldig;29.11.2017;1;Ullensaker;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0235
0236;0236;Kartverket;Gyldig;29.11.2017;1;Nes i Akershus;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0236
0237;0237;Kartverket;Gyldig;29.11.2017;1;Eidsvoll;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0237
0238;0238;Kartverket;Gyldig;29.11.2017;1;Nannestad;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0238
0239;0239;Kartverket;Gyldig;29.11.2017;1;Hurdal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0239
0301;0301;Kartverket;Gyldig;29.11.2017;1;Oslo;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0301
0401;0401;Kartverket;Utgått;29.11.2017;1;Hamar;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0401
